[2015-05-22 22:24:47] Loader added at [-399,61,740] in the overworld, owner=<server>, #chunks=9
[2015-05-22 23:34:22] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=<server>, #chunks=1
[2015-05-22 23:34:22] Loader added at [225,90,1273] in the overworld, owner=<server>, #chunks=9
[2015-05-22 23:34:32] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=<server>, #chunks=9
[2015-05-22 23:34:32] Loader added at [225,90,1273] in the overworld, owner=<server>, #chunks=25
[2015-05-23 10:29:57] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<server>, #chunks=1
[2015-05-23 10:29:57] Loader added at [-408,165,742] in the overworld, owner=<server>, #chunks=9
[2015-05-23 10:29:57] Loader removed (chunks will stay loaded for one second) at [-408,165,742] in the overworld, owner=<server>, #chunks=9
[2015-05-23 10:29:57] Loader added at [-408,165,742] in the overworld, owner=<server>, #chunks=25
[2015-05-23 12:39:46] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=<server>, #chunks=25
[2015-05-23 12:39:46] Loader added at [225,90,1273] in the overworld, owner=<server>, #chunks=9
[2015-05-23 12:39:46] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=<server>, #chunks=9
[2015-05-23 12:39:46] Loader added at [225,90,1273] in the overworld, owner=<server>, #chunks=1
[2015-05-23 12:39:47] Loader removed (chunks will stay loaded for one second) at [225,90,1273] in the overworld, owner=<server>, #chunks=1
[2015-05-23 12:39:47] Loader added at [225,90,1273] in the overworld, owner=<server>, #chunks=9
[2015-05-23 12:55:50] Loader added at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 12:55:50] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 12:55:50] Loader added at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 12:55:50] Loader validated at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 12:55:50] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 12:55:50] Loader invalidated/removed at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 12:55:50] Loader added at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 12:55:50] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=0
[2015-05-23 12:55:50] Loader added at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 12:55:50] Loader validated at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 12:55:50] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=<data lost; report this bug>, #chunks=1
[2015-05-23 12:55:50] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=1
[2015-05-23 12:55:52] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=1
[2015-05-23 12:55:52] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=9
[2015-05-23 12:55:56] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=9
[2015-05-23 12:55:56] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=25
[2015-05-23 12:55:57] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=25
[2015-05-23 12:55:57] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=49
[2015-05-23 12:55:59] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=49
[2015-05-23 12:55:59] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=81
[2015-05-23 12:55:59] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=81
[2015-05-23 12:55:59] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=121
[2015-05-23 12:56:00] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=121
[2015-05-23 12:56:00] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=169
[2015-05-23 12:56:00] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=169
[2015-05-23 12:56:00] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=225
[2015-05-23 12:56:00] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=225
[2015-05-23 12:56:00] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=289
[2015-05-23 12:56:00] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=289
[2015-05-23 12:56:00] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=361
[2015-05-23 12:56:00] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=361
[2015-05-23 12:56:00] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=441
[2015-05-23 12:56:00] Loader removed (chunks will stay loaded for one second) at [-412,127,553] in the overworld, owner=SketchBox, #chunks=441
[2015-05-23 12:56:00] Loader added at [-412,127,553] in the overworld, owner=SketchBox, #chunks=529
